   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   10800 -7.52120115E-05 -2.10847333E-05  2.66918216E+00  2.66918216E+00  0.00000000E+00
   10900 -7.52424254E-05 -2.67335566E-05  2.66924188E+00  2.66924188E+00  0.00000000E+00
   11000 -7.36108893E-05 -3.27984241E-05  2.66930203E+00  2.66930203E+00  0.00000000E+00
   11100 -7.17253517E-05 -2.84327330E-05  2.66936298E+00  2.66936298E+00  0.00000000E+00
   11200 -7.06228293E-05 -2.09950495E-05  2.66942234E+00  2.66942234E+00  0.00000000E+00
   11300 -6.86199222E-05 -2.04830886E-05  2.66948414E+00  2.66948414E+00  0.00000000E+00
   11400 -6.46846969E-05 -2.25082294E-05  2.66954515E+00  2.66954515E+00  0.00000000E+00
   11500 -6.54901488E-05 -2.42975799E-05  2.66960684E+00  2.66960685E+00  0.00000000E+00
   11600 -6.45172248E-05 -2.92432067E-05  2.66966783E+00  2.66966783E+00  0.00000000E+00
   11700 -6.41573209E-05 -2.50988182E-05  2.66972884E+00  2.66972885E+00  0.00000000E+00
   11800 -6.79468134E-05 -2.46813113E-05  2.66978930E+00  2.66978930E+00  0.00000000E+00
   11900 -6.77057902E-05 -2.88083446E-05  2.66984797E+00  2.66984797E+00  0.00000000E+00
   12000 -6.42839259E-05 -2.66263898E-05  2.66990605E+00  2.66990605E+00  0.00000000E+00
   12100 -6.43170080E-05 -2.75973275E-05  2.66996239E+00  2.66996239E+00  0.00000000E+00
   12200 -5.97015739E-05 -2.83159808E-05  2.67001794E+00  2.67001794E+00  0.00000000E+00
   12300 -5.19131781E-05 -2.62609024E-05  2.67007113E+00  2.67007113E+00  0.00000000E+00
   12400 -5.26855684E-05 -1.37147967E-05  2.67012328E+00  2.67012328E+00  0.00000000E+00
   12500 -5.04727058E-05 -1.68875197E-05  2.67017219E+00  2.67017219E+00  0.00000000E+00
   12600 -5.93780656E-05 -1.74924244E-05  2.67022020E+00  2.67022020E+00  0.00000000E+00
   12700 -6.24495209E-05 -2.14938821E-05  2.67026639E+00  2.67026639E+00  0.00000000E+00
   12800 -6.60496958E-05 -1.92117834E-05  2.67031001E+00  2.67031001E+00  0.00000000E+00
   12900 -6.67352288E-05 -2.07805933E-05  2.67035320E+00  2.67035320E+00  0.00000000E+00
   13000 -7.77302498E-05 -1.96774688E-05  2.67039373E+00  2.67039374E+00  0.00000000E+00
   13100 -7.39931157E-05 -2.83940748E-05  2.67043203E+00  2.67043203E+00  0.00000000E+00
   13200 -6.65205915E-05 -3.18953296E-05  2.67046705E+00  2.67046705E+00  0.00000000E+00
   13300 -6.85875454E-05 -3.10767664E-05  2.67050107E+00  2.67050107E+00  0.00000000E+00
   13400 -6.89348230E-05 -3.82123543E-05  2.67053406E+00  2.67053406E+00  0.00000000E+00
   13500 -6.70271290E-05 -4.50334313E-05  2.67056445E+00  2.67056445E+00  0.00000000E+00
   13600 -6.35801114E-05 -4.55069345E-05  2.67059249E+00  2.67059249E+00  0.00000000E+00
   13700 -5.33214883E-05 -4.50656628E-05  2.67061978E+00  2.67061978E+00  0.00000000E+00
   13800 -5.17986741E-05 -3.86995028E-05  2.67064295E+00  2.67064295E+00  0.00000000E+00
   13900 -5.48876542E-05 -3.57944857E-05  2.67066427E+00  2.67066427E+00  0.00000000E+00
   14000 -5.32809855E-05 -2.87508156E-05  2.67068326E+00  2.67068326E+00  0.00000000E+00
   14100 -5.44118206E-05 -2.95688078E-05  2.67070162E+00  2.67070162E+00  0.00000000E+00
   14200 -5.79029496E-05 -1.85912625E-05  2.67071857E+00  2.67071857E+00  0.00000000E+00
   14300 -5.50590544E-05 -2.11423113E-05  2.67073165E+00  2.67073165E+00  0.00000000E+00
   14400 -5.53524821E-05 -2.41222761E-05  2.67074611E+00  2.67074611E+00  0.00000000E+00
   14500 -5.79248117E-05 -2.95050830E-05  2.67075738E+00  2.67075738E+00  0.00000000E+00
   14600 -5.96179202E-05 -2.37545249E-05  2.67076982E+00  2.67076982E+00  0.00000000E+00
   14700 -5.45843462E-05 -2.65067151E-05  2.67077967E+00  2.67077967E+00  0.00000000E+00
   14800 -5.49572475E-05 -2.82877014E-05  2.67078791E+00  2.67078791E+00  0.00000000E+00
   14900 -5.12897489E-05 -3.62024066E-05  2.67079522E+00  2.67079522E+00  0.00000000E+00
   15000 -4.63853273E-05 -3.56239779E-05  2.67080111E+00  2.67080111E+00  0.00000000E+00
   15100 -4.50885799E-05 -2.99553930E-05  2.67080736E+00  2.67080736E+00  0.00000000E+00
   15200 -4.47450046E-05 -3.45946293E-05  2.67080990E+00  2.67080991E+00  0.00000000E+00
   15300 -5.02326579E-05 -3.30483258E-05  2.67081084E+00  2.67081084E+00  0.00000000E+00
   15400 -5.63194557E-05 -3.43628587E-05  2.67081185E+00  2.67081185E+00  0.00000000E+00
   15500 -5.52223367E-05 -2.49215058E-05  2.67081228E+00  2.67081228E+00  0.00000000E+00
   15600 -5.20623645E-05 -2.77511112E-05  2.67081175E+00  2.67081175E+00  0.00000000E+00
   15700 -5.73301863E-05 -2.72836773E-05  2.67081026E+00  2.67081026E+00  0.00000000E+00
   15800 -5.76118531E-05 -2.61797637E-05  2.67080798E+00  2.67080799E+00  0.00000000E+00
   15900 -6.00171128E-05 -3.01527595E-05  2.67080506E+00  2.67080506E+00  0.00000000E+00
   16000 -5.72962671E-05 -2.98275182E-05  2.67080100E+00  2.67080100E+00  0.00000000E+00
   16100 -5.59225600E-05 -3.24632726E-05  2.67079702E+00  2.67079702E+00  0.00000000E+00
   16200 -5.78938234E-05 -3.82860489E-05  2.67079268E+00  2.67079268E+00  0.00000000E+00
   16300 -6.06787924E-05 -4.58877476E-05  2.67078738E+00  2.67078738E+00  0.00000000E+00
   16400 -5.35223642E-05 -4.56152647E-05  2.67078157E+00  2.67078157E+00  0.00000000E+00
   16500 -5.40147907E-05 -4.82689073E-05  2.67077546E+00  2.67077546E+00  0.00000000E+00
   16600 -5.15678310E-05 -4.82855438E-05  2.67077039E+00  2.67077039E+00  0.00000000E+00
   16700 -5.09946719E-05 -4.92698599E-05  2.67076304E+00  2.67076304E+00  0.00000000E+00
   16800 -4.71841437E-05 -4.86836346E-05  2.67075843E+00  2.67075843E+00  0.00000000E+00
   16900 -4.33545447E-05 -4.53812697E-05  2.67075228E+00  2.67075228E+00  0.00000000E+00
   17000 -4.05319909E-05 -4.60418479E-05  2.67074514E+00  2.67074514E+00  0.00000000E+00
   17100 -4.42387138E-05 -3.82762872E-05  2.67073974E+00  2.67073974E+00  0.00000000E+00
   17200 -4.51398176E-05 -3.77311580E-05  2.67073424E+00  2.67073424E+00  0.00000000E+00
   17300 -4.22784934E-05 -3.50336161E-05  2.67072761E+00  2.67072761E+00  0.00000000E+00
   17400 -3.54525511E-05 -2.63673830E-05  2.67072115E+00  2.67072115E+00  0.00000000E+00
   17500 -3.18064036E-05 -2.12539243E-05  2.67071412E+00  2.67071412E+00  0.00000000E+00
   17600 -3.91715124E-05 -2.66436785E-05  2.67070538E+00  2.67070538E+00  0.00000000E+00
   17700 -3.51199081E-05 -2.38170928E-05  2.67069957E+00  2.67069957E+00  0.00000000E+00
   17800 -2.58302769E-05 -1.59999915E-05  2.67069314E+00  2.67069314E+00  0.00000000E+00
   17900 -2.55558695E-05 -1.48078566E-05  2.67068593E+00  2.67068593E+00  0.00000000E+00
   18000 -2.36630380E-05 -1.56821646E-05  2.67067822E+00  2.67067822E+00  0.00000000E+00
   18100 -2.59530623E-05 -1.47178116E-05  2.67067283E+00  2.67067283E+00  0.00000000E+00
   18200 -3.27726752E-05 -7.49981839E-06  2.67066637E+00  2.67066637E+00  0.00000000E+00
   18300 -3.62549515E-05 -2.77645675E-08  2.67065944E+00  2.67065944E+00  0.00000000E+00
